               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.032368,            0.034068,           0.0012299,             0.94046,             0.92719,              0.9601,               0.612,            0.028183,            0.028669,           0.0010379,            0.006634,            0.006634,            0.006634
                 104,            0.032571,            0.033995,           0.0011723,             0.94019,             0.92757,             0.96019,             0.61211,            0.028176,            0.028661,           0.0010359,            0.006601,            0.006601,            0.006601
                 105,            0.032555,            0.034118,           0.0011857,             0.94106,             0.92682,             0.96048,             0.61225,            0.028168,            0.028655,           0.0010335,            0.006568,            0.006568,            0.006568
                 106,            0.032405,            0.033932,           0.0011817,             0.94085,             0.92723,             0.96051,             0.61248,            0.028159,            0.028646,           0.0010305,            0.006535,            0.006535,            0.006535
                 107,            0.032517,            0.034091,           0.0012682,             0.94158,             0.92667,             0.96038,             0.61267,            0.028149,            0.028638,           0.0010269,            0.006502,            0.006502,            0.006502
                 108,            0.032677,            0.034154,             0.00127,             0.94405,             0.92469,             0.96052,             0.61282,            0.028139,            0.028629,           0.0010253,            0.006469,            0.006469,            0.006469
                 109,            0.032475,            0.033788,            0.001238,             0.94534,             0.92371,             0.96064,             0.61285,            0.028131,            0.028622,           0.0010245,            0.006436,            0.006436,            0.006436
                 110,              0.0324,             0.03424,           0.0013226,              0.9436,             0.92554,             0.96056,             0.61296,            0.028124,            0.028616,           0.0010239,            0.006403,            0.006403,            0.006403
                 111,            0.032508,            0.034258,           0.0012561,             0.94565,              0.9243,             0.96069,              0.6133,            0.028116,            0.028608,           0.0010228,             0.00637,             0.00637,             0.00637
                 112,            0.032391,            0.033871,           0.0012843,             0.94565,             0.92434,             0.96063,             0.61337,            0.028109,            0.028599,           0.0010214,            0.006337,            0.006337,            0.006337
                 113,            0.032445,            0.033965,           0.0011211,             0.94592,             0.92438,             0.96064,             0.61355,            0.028102,            0.028591,           0.0010204,            0.006304,            0.006304,            0.006304
                 114,            0.032473,            0.033992,           0.0012875,             0.94662,             0.92374,             0.96071,             0.61358,            0.028097,            0.028585,           0.0010205,            0.006271,            0.006271,            0.006271
                 115,            0.032325,            0.033893,           0.0012675,             0.94655,             0.92398,             0.96088,             0.61368,            0.028089,            0.028576,           0.0010203,            0.006238,            0.006238,            0.006238
                 116,            0.032355,            0.033728,           0.0012583,             0.94644,             0.92411,             0.96086,             0.61403,            0.028081,            0.028568,           0.0010211,            0.006205,            0.006205,            0.006205
                 117,            0.032243,            0.033769,           0.0011829,             0.94557,               0.925,             0.96083,              0.6141,            0.028074,            0.028559,            0.001022,            0.006172,            0.006172,            0.006172
                 118,            0.032197,            0.033798,           0.0011175,             0.94562,               0.925,             0.96087,             0.61431,            0.028065,            0.028551,           0.0010223,            0.006139,            0.006139,            0.006139
                 119,            0.032292,            0.033828,           0.0012469,             0.94667,             0.92423,             0.96089,             0.61427,            0.028059,            0.028543,           0.0010226,            0.006106,            0.006106,            0.006106
                 120,            0.032264,            0.033705,           0.0011829,             0.94632,             0.92478,             0.96087,             0.61439,            0.028051,            0.028535,           0.0010245,            0.006073,            0.006073,            0.006073
                 121,             0.03229,            0.034071,           0.0011135,             0.94688,             0.92419,             0.96078,             0.61454,            0.028043,            0.028528,           0.0010281,             0.00604,             0.00604,             0.00604
                 122,            0.032287,             0.03364,           0.0011362,             0.94812,             0.92322,             0.96078,             0.61465,            0.028036,            0.028521,           0.0010288,            0.006007,            0.006007,            0.006007
                 123,            0.032108,            0.033805,           0.0010701,             0.94721,             0.92441,             0.96092,             0.61492,            0.028028,            0.028513,           0.0010305,            0.005974,            0.005974,            0.005974
                 124,            0.032001,            0.033525,           0.0010924,             0.94748,             0.92438,             0.96103,             0.61512,             0.02802,            0.028506,           0.0010332,            0.005941,            0.005941,            0.005941
                 125,            0.032254,            0.033921,           0.0011914,             0.94709,             0.92501,             0.96112,             0.61526,            0.028012,            0.028498,            0.001033,            0.005908,            0.005908,            0.005908
                 126,            0.032102,            0.033356,           0.0012498,             0.94703,             0.92513,             0.96122,             0.61544,            0.028004,            0.028491,           0.0010333,            0.005875,            0.005875,            0.005875
                 127,            0.032326,            0.033715,           0.0010944,             0.94567,             0.92668,             0.96131,             0.61561,            0.027998,            0.028483,           0.0010342,            0.005842,            0.005842,            0.005842
                 128,            0.032065,             0.03371,           0.0012117,             0.94636,             0.92604,             0.96124,             0.61575,             0.02799,            0.028475,           0.0010339,            0.005809,            0.005809,            0.005809
                 129,             0.03196,            0.033194,           0.0011226,              0.9451,             0.92712,             0.96134,             0.61595,            0.027983,            0.028469,            0.001033,            0.005776,            0.005776,            0.005776
                 130,            0.031877,            0.033504,           0.0011116,             0.94588,             0.92667,             0.96133,             0.61608,            0.027976,            0.028463,           0.0010353,            0.005743,            0.005743,            0.005743
                 131,            0.032157,            0.033585,           0.0013874,             0.94553,             0.92664,              0.9612,             0.61606,            0.027973,            0.028459,           0.0010325,             0.00571,             0.00571,             0.00571
                 132,            0.032015,            0.033352,           0.0012432,             0.94556,             0.92665,             0.96124,             0.61579,            0.027972,            0.028455,           0.0010301,            0.005677,            0.005677,            0.005677
                 133,             0.03202,             0.03357,           0.0011012,             0.94494,             0.92728,              0.9612,             0.61602,            0.027965,             0.02845,             0.00103,            0.005644,            0.005644,            0.005644
                 134,            0.031886,            0.033153,           0.0011098,             0.94567,              0.9267,             0.96117,             0.61607,            0.027958,            0.028445,           0.0010302,            0.005611,            0.005611,            0.005611
                 135,            0.031917,            0.033583,           0.0010909,             0.94753,              0.9249,             0.96125,             0.61622,            0.027952,            0.028438,           0.0010305,            0.005578,            0.005578,            0.005578
                 136,            0.031921,            0.033422,           0.0010783,             0.94853,              0.9242,             0.96133,             0.61641,            0.027946,            0.028433,           0.0010313,            0.005545,            0.005545,            0.005545
                 137,            0.031742,            0.032841,           0.0010734,             0.94891,               0.924,             0.96135,             0.61671,            0.027936,            0.028425,            0.001032,            0.005512,            0.005512,            0.005512
